FID,roof,road,watr,conc,Veg,dry,irr,H,W
132,0,0,0,0.0928,0.5344,0.3728,0,0,30
133,0,0,0,0.0512,0.2912,0.6576,0,0,30
134,0,0,0,0.1504,0.0224,0.8272,0,0,30
135,0,0,0,0.3808,0.0544,0.5648,0,0,30
136,0,0,0,0.486153846,0.101538462,0.412307692,0,0,30
137,0,0,0,0.6304,0.1568,0.2128,0,0,30
138,0,0,0,0.7552,0.0784,0.1664,0,0,30
139,0,0,0,0.5408,0.3152,0.144,0,0,30
140,0,0,0,0.344,0.456,0.2,0,0,30
141,0,0,0.003076923,0.349230769,0.424615385,0.223076923,0,0,30
142,0,0,0.0096,0.1664,0.4864,0.3376,0,0,30
143,0,0,0.0192,0.0192,0.6016,0.36,0,0,30
144,0,0,0.0064,0.016,0.4336,0.544,0,0,30
145,0,0,0.024,0.0048,0.3584,0.6128,0,0,30
146,0,0,0.035384615,0.004615385,0.493846154,0.466153846,0,0,30
147,0.0224,0,0.0192,0.0656,0.3984,0.4944,0,0.224,29.328
148,0.1248,0,0.0176,0.1504,0.3648,0.3424,0,1.248,26.256
149,0.1344,0,0.0064,0.312,0.2896,0.2576,0,1.344,25.968
150,0.163076923,0,0.004615385,0.363076923,0.141538462,0.327692308,0,1.630769231,25.10769231
151,0.5824,0,0,0.2544,0.104,0.0592,0,5.824,12.528
152,0.6288,0,0,0.168,0.0096,0.1936,0,6.288,11.136
153,0.872,0,0,0.112,0.0032,0.0128,0,8.72,3.84
154,0.8816,0,0,0.1088,0.0064,0.0032,0,8.816,3.552
155,0.769230769,0,0,0.12,0.035384615,0.075384615,0,7.692307692,6.923076923
156,1,0,0,0,0,0,0,10,0
157,0.792,0,0,0.1472,0.0144,0.0464,0,7.92,6.24
158,0.2544,0,0,0.6192,0.04,0.0864,0,2.544,22.368
159,0.0016,0,0,0.72,0.1024,0.176,0,0.016,29.952
160,0,0,0,0.629230769,0.106153846,0.264615385,0,0,30
161,0,0,0,0.792,0.0528,0.1552,0,0,30
162,0,0,0,0.9024,0.0112,0.0864,0,0,30
163,0.2272,0,0,0.6816,0.0064,0.0848,0,2.272,23.184
164,0.6224,0,0,0.2544,0.0512,0.072,0,6.224,11.328
165,0.429230769,0,0,0.433846154,0.027692308,0.107692308,0.001538462,4.292307692,17.12307692
166,0.0096,0,0,0.0544,0.8736,0.0528,0.0096,0.096,29.712
167,0,0,0,0.072,0.8448,0.0688,0.0144,0,30
168,0.0064,0,0,0.328,0.5488,0.104,0.0128,0.02944,29.808
169,0.0464,0,0,0.5072,0.2416,0.1968,0.008,0.21344,28.608
